CNA00010,CNAG_06526,94.56,147,8,0,775,921,398,544,2e-59, 228
CNA00020,CNAG_00011,92.47,956,72,0,7,962,7,962,0.0,1367
CNA00030,CNAG_00010,91.49,2572,201,10,103,2665,1,2563,0.0,3520
CNA00040,CNAG_00009,88.55,550,57,3,1,550,1,544,0.0, 662
CNA00050,CNAG_00008,95.39,2973,137,0,283,3255,388,3360,0.0,4732
CNA00060,CNAG_00007,92.56,1747,130,0,86,1832,1,1747,0.0,2507
CNA00070,CNAG_00006,96.87,957,30,0,1,957,1,957,0.0,1602
CNA00080,CNAG_00015,93.11,639,41,1,397,1032,1,639,0.0, 933
CNA00090,CNAG_00016,98.66,149,2,0,1,149,1,149,1e-70, 265
CNA00100,CNAG_00017,87.47,1213,112,25,7,1205,949,2135,0.0,1362
CNA00110,CNAG_00018,82.07,1623,214,56,12,1606,1,1574,0.0,1314
CNA00120,CNAG_00019,95.04,242,12,0,1,242,1,242,6e-106, 381
CNA00130,CNAG_00020,90.15,467,41,4,2509,2974,2440,2902,9e-172, 603
CNA00140,CNAG_00021,91.60,1404,97,10,129,1511,1,1404,0.0,1919
CNA00150,CNAG_00022,92.66,817,52,4,1,816,1,810,0.0,1170
CNA00160,CNAG_00023,92.35,1059,75,3,1,1053,28,1086,0.0,1502
CNA00170,CNAG_00024,93.52,2052,130,2,780,2828,307,2358,0.0,3049
CNA00170,CNAG_00024,93.51,2048,130,2,780,2824,307,2354,0.0,3042
CNA00170,CNAG_00024,93.49,2027,129,2,780,2803,307,2333,0.0,3009
CNA00180,CNAG_00025,94.17,1768,97,3,76,1840,1,1765,0.0,2689
CNA00180,CNAG_00025,94.44,1727,93,1,32,1758,42,1765,0.0,2654
CNA00190,CNAG_00026,95.44,1293,59,0,222,1514,1,1293,0.0,2061
CNA00200,CNAG_00027,89.92,1369,135,3,385,1751,260,1627,0.0,1760
CNA00200,CNAG_00027,90.41,1241,118,1,459,1698,387,1627,0.0,1631
CNA00200,CNAG_00027,90.41,1241,118,1,437,1676,387,1627,0.0,1631
CNA00200,CNAG_00027,90.41,1241,118,1,437,1676,387,1627,0.0,1631
CNA00210,CNAG_00028,93.27,1485,97,3,187,1671,1,1482,0.0,2185
CNA00220,CNAG_00029,89.76,1074,91,4,1,1055,1,1074,0.0,1356
CNA00230,CNAG_00031,93.23,768,47,3,18,784,234,997,0.0,1125
CNA00240,CNAG_00032,94.40,803,45,0,1,803,1,803,0.0,1234
CNA00250,CNAG_00034,96.53,576,20,0,7,582,1,576,0.0, 953
CNA00260,CNAG_00035,89.64,1323,134,2,323,1642,85,1407,0.0,1681
CNA00270,CNAG_00036,92.28,868,55,10,1,864,1,860,0.0,1221
CNA00280,CNAG_00038,93.05,834,58,0,81,914,9,842,0.0,1219
CNA00290,CNAG_00039,91.30,2505,205,9,586,3085,75,2571,0.0,3406
CNA00300,CNAG_00040,95.12,1640,80,0,110,1749,1,1640,0.0,2586
CNA00310,CNAG_07308,92.46,1300,95,2,85,1381,1,1300,0.0,1855
CNA00320,CNAG_00043,83.66,1132,152,18,837,1944,786,1908,0.0,1035
CNA00330,CNAG_00044,94.59,3348,181,0,67,3414,1,3348,0.0,5180
CNA00340,CNAG_00045,91.67,1260,99,1,33,1286,1,1260,0.0,1740
CNA00350,CNAG_00046,95.44,1053,48,0,52,1104,1,1053,0.0,1679
CNA00360,CNAG_00047,91.02,791,41,12,162,940,1,773,0.0,1040
CNA00360,CNAG_00047,94.66,562,30,0,605,1166,779,1340,0.0, 872
CNA00370,CNAG_00048,93.39,711,47,0,234,944,285,995,0.0,1053
CNA00380,CNAG_00049,94.58,978,53,0,1,978,1,978,0.0,1513
CNA00390,CNAG_00050,93.38,907,46,8,1,894,1,906,0.0,1330
CNA00400,CNAG_00051,91.73,2164,163,9,3,2155,1825,3983,0.0,2990
CNA00420,CNAG_00054,95.88,243,10,0,862,1104,701,459,2e-109, 394
CNA00430,CNAG_00054,94.72,701,37,0,1,701,1,701,0.0,1090
CNA00450,CNAG_00055,92.72,1167,79,2,30,1190,1,1167,0.0,1679
CNA00460,CNAG_00056,90.81,2023,186,0,117,2139,1,2023,0.0,2706
CNA00470,CNAG_00057,95.54,1053,47,0,95,1147,1,1053,0.0,1685
CNA00480,CNAG_00058,95.57,1647,73,0,47,1693,1,1647,0.0,2638
CNA00490,CNAG_00060,94.37,568,32,0,639,1206,579,1146,0.0, 872
CNA00510,CNAG_00061,96.77,1395,45,0,42,1436,1,1395,0.0,2327
CNA00520,CNAG_00151,94.87,1539,79,0,838,2376,1,1539,0.0,2405
CNA00530,CNAG_00062,93.72,1593,100,0,16,1608,1,1593,0.0,2388
CNA00540,CNAG_00063,91.46,480,20,12,1,459,1,480,0.0, 640
CNA00550,CNAG_00064,93.16,585,19,6,109,693,1,564,0.0, 839
CNA00560,CNAG_00065,93.58,717,46,0,20,736,1,717,0.0,1070
CNA00570,CNAG_00066,93.02,3695,258,0,50,3744,38,3732,0.0,5395
CNA00580,CNAG_00067,96.24,213,8,0,289,501,1,213,3e-96, 350
CNA00590,CNAG_00068,91.53,484,41,0,912,1395,1,484,0.0, 667
CNA00600,CNAG_00069,81.68,966,116,30,322,1259,1,933,0.0, 747
CNA00610,CNAG_00070,84.97,712,80,14,117,825,432,1119,0.0, 697
CNA00620,CNAG_00072,92.88,1236,77,4,28,1262,1,1226,0.0,1784
CNA00630,CNAG_00073,92.26,1679,121,4,123,1801,1,1670,0.0,2372
CNA00640,CNAG_00074,94.26,1656,95,0,79,1734,1,1656,0.0,2532
CNA00650,CNAG_00075,90.72,474,44,0,1,474,1,474,0.0, 632
CNA00660,CNAG_00076,91.54,898,59,8,25,906,1,897,0.0,1221
CNA00670,CNAG_00077,93.87,2366,145,0,129,2494,1,2366,0.0,3567
CNA00680,CNAG_00078,94.56,2279,124,0,176,2454,1,2279,0.0,3522
CNA00690,CNAG_00079,92.62,759,56,0,475,1233,1,759,0.0,1092
CNA00700,CNAG_00080,86.88,1273,165,2,3,1274,86,1357,0.0,1424
CNA00710,CNAG_00081,94.33,2841,149,2,51,2891,1,2829,0.0,4344
CNA00720,CNAG_00082,93.22,988,67,0,5,992,1,988,0.0,1454
CNA00730,CNAG_00083,91.30,2932,253,2,54,2984,1,2931,0.0,4000
CNA00740,CNAG_00084,94.53,2577,141,0,17,2593,1,2577,0.0,3978
CNA00750,CNAG_00085,96.44,618,22,0,4,621,10,627,0.0,1020
CNA00760,CNAG_00086,93.55,2001,129,0,65,2065,1,2001,0.0,2981
CNA00770,CNAG_00087,92.83,2049,144,2,55,2100,1,2049,0.0,2966
CNA00780,CNAG_00088,96.00,825,33,0,39,863,1,825,0.0,1341
CNA00790,CNAG_00089,93.27,996,67,0,1,996,1,996,0.0,1469
CNA00800,CNAG_00090,91.32,1267,105,4,93,1358,1,1263,0.0,1725
CNA00820,CNAG_00091,89.35,1653,119,26,1,1644,1,1605,0.0,2025
CNA00830,CNAG_00092,95.76,354,15,0,44,397,1,354,4e-163, 571
CNA00840,CNAG_00093,93.35,2301,147,3,1,2295,1,2301,0.0,3397
CNA00850,CNAG_00094,94.34,1078,61,0,90,1167,1,1078,0.0,1653
CNA00860,CNAG_00095,93.94,3500,205,5,64,3558,1,3498,0.0,5282
CNA00870,CNAG_00096,90.24,1567,151,2,39,1604,1,1566,0.0,2045
CNA00880,CNAG_00097,93.96,1704,103,0,27,1730,1,1704,0.0,2577
CNA00890,CNAG_00098,93.90,983,60,0,69,1051,8,990,0.0,1483
CNA00900,CNAG_00099,94.91,2572,129,2,61,2631,1,2571,0.0,4023
CNA00910,CNAG_00100,94.99,1756,86,2,12,1766,1,1755,0.0,2754
CNA00920,CNAG_00101,93.91,804,49,0,1,804,1,804,0.0,1214
CNA00930,CNAG_07309,95.03,1248,62,0,29,1276,1,1248,0.0,1962
CNA00940,CNAG_07310,91.76,680,56,0,25,704,1,680,0.0, 946
CNA00950,CNAG_00104,95.27,3301,156,0,1,3301,1,3301,0.0,5232
CNA00960,CNAG_00105,92.33,378,28,1,234,611,144,520,3e-152, 536
CNA00970,CNAG_00106,93.39,3645,229,6,39,3674,1,3642,0.0,5385
